pillar	variant_id	scene_code	name	intent	narrative_pattern	visual_archetype	tone_options	transition_notes	compatible_previous	compatible_next	duration_sec_min	duration_sec_max
APPLY	3A	APPLY_3A_MICRO_QUIZ	Micro-Quiz (MCQ)	Check immediate recall; give feedback.	Single MCQ; instant correct/incorrect.	Pill buttons; tick/cross; confetti on correct.	Neutral, Light	Strong after 2A/2C; end with 4A.	EXPLAIN_2A, EXPLAIN_2C, EXPLAIN_2E	REFLECT_4A, REFLECT_4D	12	25
APPLY	3B	APPLY_3B_SCENARIO_CHOICE	Scenario Choice	Test application in a short situational context.	Youâ€™re faced withâ€¦ choose the best action.	Scenario card + choice pills; subtle illustration.	Playful, Reflective	Pairs with 4B reflection.	EXPLAIN_2B, EXPLAIN_2D	REFLECT_4B, REFLECT_4C	15	30
APPLY	3C	APPLY_3C_FILL_GAP	Fill the Gap	Elicit recall by completing a key phrase.	Prompt with missing word; confirm.	Typewriter blank; suggestions (optional).	Focused, Quickfire	Leads nicely to 4A or 4C.	EXPLAIN_2A, EXPLAIN_2B	REFLECT_4A, REFLECT_4C	12	25
APPLY	3D	APPLY_3D_SEQUENCE_CHALLENGE	Sequence Challenge	Reinforce order or flow understanding.	Arrange 3â€“4 steps in correct order.	Numbered cards (auto-reveal in demo).	Gamified, Logical	Great after 2E; then 4A recap.	EXPLAIN_2E, EXPLAIN_2C	REFLECT_4A	15	30
APPLY	3E	APPLY_3E_VISUAL_CHECKPOINT	Visual Checkpoint	Ask learner to spot/identify a visual element.	Prompt + click to highlight.	Annotated image; hotspots.	Observational, Interactive	Works after any EXPLAIN variant.	EXPLAIN_2A, EXPLAIN_2B, EXPLAIN_2C, EXPLAIN_2D, EXPLAIN_2E	REFLECT_4A, REFLECT_4D	12	25
REFLECT	4A	REFLECT_4A_KEY_TAKEAWAYS	Key Takeaway Recap	Consolidate learning via top 3 insights.	So what? 3 bullets; one line closure.	Text cascade + highlight.	Calm, Affirmative	Universal closer; can link to 4D.	APPLY_3A, APPLY_3C, APPLY_3D, APPLY_3E	REFLECT_4D, (End)	12	25
REFLECT	4B	REFLECT_4B_ANALOGY_RETURN	Analogy Return	Reinforce concept by returning to the hookâ€™s metaphor.	Callback line that closes the loop.	Morph or split-screen recall.	Warm, Narrative	Best after 2B/3B flows.	APPLY_3B, EXPLAIN_2B, EXPLAIN_2D	(End)	10	20
REFLECT	4C	REFLECT_4C_PERSONAL_PROMPT	Personal Reflection Prompt	Invite learner to self-assess or choose next step.	One thoughtful question; pause.	Centered question card; subtle glow.	Reflective, Calm	Can tee up 4D next-module link.	APPLY_3A, APPLY_3C, APPLY_3E	REFLECT_4D	10	18
REFLECT	4D	REFLECT_4D_FORWARD_LINK	Forward Link	Provide narrative bridge to the next topic.	â€˜Next, weâ€™llâ€¦â€™ concise cue.	Map path highlight; arrow to next module.	Anticipatory, Energetic	Should be the final or penultimate beat.	REFLECT_4A, REFLECT_4C	HOOK (next video)	8	12
REFLECT	4E	REFLECT_4E_QUOTE_SIGNATURE	Quote / Signature	End on a memorable line tied to brand voice.	One-liner; hand-written flourish.	Signature write-on; logo lockup.	Poetic, Cinematic	Hard end; no next-scene expectation.	Any APPLY/REFLECT	(End)	6	12
